# Time (hours) 	 Flux Target 	 Flux Comp1 	 Flux Comp2 	 Flux Comp3 	 Flux Comp4 	 Flux Comp5 	 Flux Comp6 	 Flux Comp7 	 Flux Comp8 	 Flux Comp9 
-2.0901688990	0.0563909814	0.0559810267	0.0562391579	0.0558420182	0.0563925307	0.0561782525	0.0562861957	0.0563636254	0.0562039784	0.0563002120
-2.0497648586	0.0581267600	0.0577929934	0.0578688763	0.0576850087	0.0581951221	0.0578130995	0.0579353302	0.0579379236	0.0578248239	0.0580325620
-2.0093608182	0.0597346376	0.0594214373	0.0594938756	0.0593682947	0.0595232839	0.0595181618	0.0597451201	0.0596846868	0.0594957980	0.0597266458
-1.9689567778	0.0611408116	0.0606970080	0.0610479266	0.0608931589	0.0613377655	0.0608326175	0.0614717597	0.0613417839	0.0609304383	0.0612817924
-1.9285527374	0.0626379605	0.0625465047	0.0626735912	0.0625756158	0.0628076404	0.0625066839	0.0628737738	0.0627943802	0.0627520393	0.0630484517
-1.8881486970	0.0641466913	0.0641035944	0.0642294666	0.0641427490	0.0645031858	0.0640555791	0.0642331128	0.0642626760	0.0641093561	0.0644979101
-1.8477446566	0.0661044751	0.0656408181	0.0657943458	0.0656629167	0.0661181978	0.0656058632	0.0657945916	0.0658281194	0.0658057318	0.0660122279
-1.8073406162	0.0673062955	0.0672118772	0.0671571569	0.0672247205	0.0674242123	0.0672341775	0.0670530696	0.0673846479	0.0671515948	0.0675808525
-1.7669365758	0.0687685632	0.0684690683	0.0685970887	0.0685931204	0.0690784457	0.0686139190	0.0686348804	0.0685987194	0.0686461157	0.0689410942
-1.7265325354	0.0701343646	0.0703360890	0.0698375067	0.0699352782	0.0702809839	0.0697952233	0.0703348493	0.0699206120	0.0701166873	0.0705121202
-1.6861284950	0.0714845853	0.0714900647	0.0713602097	0.0712986317	0.0717491830	0.0713656176	0.0716850930	0.0713920347	0.0714173552	0.0716697104
-1.6457244546	0.0732564067	0.0729689176	0.0730027035	0.0726269090	0.0732106962	0.0727289061	0.0729148577	0.0727922023	0.0729381079	0.0733472841
-1.6053204142	0.0741579906	0.0742474323	0.0741619343	0.0740320282	0.0744823998	0.0738544807	0.0740968911	0.0743396052	0.0742810321	0.0743259298
-1.5649163738	0.0755288697	0.0754611998	0.0756996802	0.0752124224	0.0758488240	0.0754209201	0.0755676093	0.0755277276	0.0753579645	0.0755149536
-1.5245123334	0.0767653818	0.0769168505	0.0767103629	0.0764632818	0.0771934728	0.0767759283	0.0767642710	0.0768436466	0.0764894453	0.0769877696
-1.4841082930	0.0779794062	0.0776204300	0.0779971508	0.0776836998	0.0783658376	0.0779047912	0.0778251745	0.0778751784	0.0776790148	0.0782013694
-1.4437042526	0.0790427967	0.0790067758	0.0790077464	0.0789924296	0.0794240943	0.0788628149	0.0789257132	0.0789184876	0.0789139417	0.0792896166
-1.4033002122	0.0801362501	0.0801105785	0.0800375774	0.0799968248	0.0804043266	0.0800664580	0.0799795609	0.0800340871	0.0801432598	0.0803923558
-1.3628961718	0.0809591093	0.0807189321	0.0808718739	0.0808450280	0.0812786924	0.0808362921	0.0810320113	0.0808992657	0.0808989197	0.0811095634
-1.3224921314	0.0815673293	0.0817588607	0.0815233347	0.0814657263	0.0818857281	0.0817022180	0.0815814532	0.0816438256	0.0816447649	0.0817551575
-1.2820880910	0.0820366108	0.0823767927	0.0820144905	0.0820565506	0.0824653481	0.0819940968	0.0821658555	0.0818768476	0.0822348793	0.0821895847
-1.2416840506	0.0821059696	0.0824226517	0.0822133601	0.0821068524	0.0824296081	0.0819821328	0.0823830590	0.0821354045	0.0820427035	0.0822461527
-1.2012800102	0.0820308857	0.0821724745	0.0822003140	0.0820287553	0.0823580173	0.0817284551	0.0819517095	0.0819295481	0.0821164486	0.0820292097
-1.1608759697	0.0817825867	0.0819426363	0.0818692432	0.0815916994	0.0820187347	0.0815431922	0.0814296223	0.0816657912	0.0817046100	0.0817142454
