# Time (hours) 	 Flux Target 	 Flux Comp1 	 Flux Comp2 	 Flux Comp3 	 Flux Comp4 	 Flux Comp5 	 Flux Comp6 	 Flux Comp7 	 Flux Comp8 	 Flux Comp9 
-2.0224621048	0.0591139205	0.0596183690	0.0590252900	0.0591749712	0.0590555878	0.0592716315	0.0588619626	0.0592755210	0.0591831727	0.0587281804
-1.9820580644	0.0608772785	0.0608600059	0.0607734002	0.0608748494	0.0607727962	0.0609529346	0.0605867277	0.0609075516	0.0607369979	0.0604999314
-1.9416540240	0.0624057822	0.0624572361	0.0622600359	0.0622177541	0.0620739776	0.0624410134	0.0622976724	0.0625198031	0.0625410696	0.0621352087
-1.9012499836	0.0638724491	0.0639720734	0.0639046223	0.0638892849	0.0638812093	0.0640589458	0.0637163049	0.0641871244	0.0640149059	0.0636450692
-1.8608459432	0.0654263203	0.0656354655	0.0651865613	0.0654355251	0.0651195514	0.0656723029	0.0653107095	0.0656476615	0.0655738382	0.0651251697
-1.8204419028	0.0668862570	0.0670980805	0.0667566852	0.0669549054	0.0668059801	0.0671002825	0.0667686791	0.0671518931	0.0670639305	0.0666868822
-1.7800378624	0.0681109845	0.0686725358	0.0680799708	0.0684466378	0.0683878886	0.0684613124	0.0679668815	0.0683227042	0.0683334946	0.0681526035
-1.7396338220	0.0695533773	0.0700792884	0.0696791340	0.0697235940	0.0697544075	0.0696406131	0.0694604484	0.0699077133	0.0697727354	0.0694052317
-1.6992297816	0.0710892797	0.0714412000	0.0709244093	0.0714065304	0.0710413208	0.0711387585	0.0708520589	0.0711672654	0.0712231448	0.0706697913
-1.6588257411	0.0721565622	0.0725327701	0.0724960947	0.0724547022	0.0722977955	0.0726948025	0.0721239047	0.0726012440	0.0727540212	0.0720259186
-1.6184217007	0.0735548749	0.0738267288	0.0736551605	0.0737152224	0.0735130573	0.0737227936	0.0737852136	0.0741305397	0.0740194438	0.0736163283
-1.5780176603	0.0748423901	0.0752550848	0.0748072759	0.0749463396	0.0748824833	0.0750955886	0.0751134276	0.0753396811	0.0753492117	0.0746312944
-1.5376136199	0.0761037217	0.0763509484	0.0762791809	0.0761433082	0.0762440352	0.0762360441	0.0762606021	0.0765334833	0.0764257093	0.0760228090
-1.4972095795	0.0773197997	0.0775694083	0.0773961180	0.0775340162	0.0774469314	0.0775911277	0.0776038847	0.0779553225	0.0777337337	0.0772600770
-1.4568055391	0.0786022179	0.0786572479	0.0785014591	0.0786550215	0.0785407904	0.0785136070	0.0787413860	0.0790410917	0.0788870343	0.0783855645
-1.4164014987	0.0795353823	0.0795833175	0.0795304138	0.0799406230	0.0796951236	0.0800188661	0.0796986509	0.0801181475	0.0799566529	0.0794673608
-1.3759974583	0.0804650129	0.0807125263	0.0803621223	0.0809265203	0.0803869000	0.0807959299	0.0807340193	0.0809197291	0.0806979204	0.0803139488
-1.3355934179	0.0811656993	0.0813410524	0.0812326303	0.0814417179	0.0810838437	0.0817408978	0.0812750838	0.0817058745	0.0815417612	0.0812836636
-1.2951893775	0.0819355112	0.0819804995	0.0816020195	0.0820623731	0.0817949896	0.0821682051	0.0819071758	0.0823598103	0.0821193672	0.0818953319
-1.2547853371	0.0820228011	0.0821831024	0.0821751364	0.0825528930	0.0820471013	0.0825759716	0.0820787607	0.0825271038	0.0821020118	0.0820624204
-1.2143812967	0.0819654313	0.0821937335	0.0820689292	0.0821700639	0.0820758358	0.0821458154	0.0820367146	0.0825319299	0.0822879236	0.0820582562
-1.1739772563	0.0818069230	0.0818161115	0.0818646731	0.0819028635	0.0814919699	0.0819451603	0.0816927531	0.0819890958	0.0818212953	0.0816477939
-1.1335732159	0.0811771470	0.0812405779	0.0812134486	0.0812445174	0.0811501080	0.0812527935	0.0812524608	0.0815105939	0.0812747204	0.0812442837
-1.0931691755	0.0805854335	0.0806545595	0.0806027576	0.0808220551	0.0802796667	0.0812495937	0.0806866070	0.0810954144	0.0806426888	0.0807756241
-1.0527651351	0.0800255677	0.0802916764	0.0805242436	0.0807609407	0.0801222812	0.0808077292	0.0802501270	0.0810006720	0.0805671311	0.0804888752
-1.0123610947	0.0803646211	0.0805083898	0.0808716167	0.0807462040	0.0804687208	0.0807552231	0.0803831742	0.0810023773	0.0808891637	0.0805138357
-0.9719570543	0.0814354546	0.0816222439	0.0814705306	0.0817532573	0.0814859069	0.0816152364	0.0811955885	0.0819346802	0.0818442783	0.0816500208
-0.9315530139	0.0829723122	0.0830787899	0.0831029725	0.0833029453	0.0828195902	0.0831302915	0.0826535235	0.0832722233	0.0830282228	0.0828150154
-0.8911489735	0.0845861906	0.0848941345	0.0847754995	0.0849884443	0.0846665094	0.0852771033	0.0846913410	0.0852252791	0.0849424189	0.0850842286
-0.8507449331	0.0864585969	0.0870877863	0.0870073156	0.0871583519	0.0869870762	0.0872197352	0.0865526619	0.0873202365	0.0867530599	0.0871049707
-0.8103408927	0.0884342819	0.0892097715	0.0890095226	0.0892532943	0.0891809219	0.0894586577	0.0890521044	0.0895954492	0.0890064390	0.0891738836
-0.7699368523	0.0901786090	0.0911790603	0.0909371467	0.0912500469	0.0909573954	0.0913348829	0.0908074751	0.0916743819	0.0909272290	0.0911970307
-0.7295328119	0.0914936220	0.0927070718	0.0927159338	0.0930990556	0.0926799031	0.0930898426	0.0926160876	0.0930031263	0.0926896124	0.0928184622
-0.6891287714	0.0925192314	0.0940786462	0.0940295074	0.0941291895	0.0940117225	0.0945320737	0.0939490928	0.0942775830	0.0938458863	0.0937920650
-0.6487247310	0.0935081774	0.0950870341	0.0949209173	0.0953355338	0.0949382550	0.0954466092	0.0952042156	0.0952374682	0.0950303937	0.0952001954
-0.6083206906	0.0941886422	0.0959624828	0.0959610717	0.0959288671	0.0957547449	0.0962303348	0.0956200440	0.0962066467	0.0960889998	0.0960530926
-0.5679166502	0.0948289813	0.0968573369	0.0967318414	0.0965534658	0.0965244185	0.0968239110	0.0963454164	0.0970135949	0.0969319351	0.0964114919
-0.5275126098	0.0951961128	0.0971524441	0.0971432332	0.0971604527	0.0972145245	0.0974791840	0.0969544572	0.0974624030	0.0973762674	0.0973283428
-0.4871085694	0.0954873793	0.0973730194	0.0974794663	0.0977819913	0.0974397292	0.0977953309	0.0972645907	0.0976114480	0.0975555525	0.0975267736
-0.4467045290	0.0959444627	0.0978611040	0.0979136349	0.0981371830	0.0979123173	0.0979747837	0.0977386055	0.0982292463	0.0983063789	0.0978596160
-0.4063004886	0.0964948085	0.0982650798	0.0981107545	0.0984896233	0.0983198688	0.0983693309	0.0982586635	0.0984378549	0.0983553919	0.0979358429
-0.3658964482	0.0965666797	0.0985905534	0.0985268165	0.0986449051	0.0985242501	0.0984385007	0.0985610771	0.0988420232	0.0988451492	0.0984428147
-0.3254924078	0.0968278002	0.0989701306	0.0985099272	0.0989427546	0.0987089175	0.0988690182	0.0987939317	0.0990180861	0.0992702914	0.0985061540
-0.2850883674	0.0971042669	0.0991647519	0.0991165062	0.0991861176	0.0987577907	0.0993252634	0.0990236897	0.0992579731	0.0993902587	0.0986626050
-0.2446843270	0.0973524635	0.0992889178	0.0991629993	0.0994556048	0.0989281541	0.0994438397	0.0992395972	0.0996887588	0.0996603432	0.0990510094
-0.2042802866	0.0973956874	0.0992977757	0.0993515102	0.0994130409	0.0993358889	0.0994748810	0.0994120611	0.0997745838	0.0996518072	0.0991440370
-0.1638762462	0.0976125857	0.0993283681	0.0996801752	0.0998135301	0.0993948649	0.0996209912	0.0996406670	0.0999717466	0.0996143008	0.0993509649
-0.1234722058	0.0977252022	0.0995907268	0.0998631366	0.0998409934	0.0995818572	0.0998036236	0.0998624946	0.1001157925	0.1000112828	0.0995228116
